Latitude (decimal degrees):	49.445
Longitude (decimal degrees):	11.859
Elevation (m):	379
Radiation database:	PVGIS-SARAH3


Slope: 30 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	142.4
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230104:1310,3084.38,38.79,13.53,6.62,4.41,0.0
20230104:1410,6130.32,65.22,8.18,7.13,4.62,0.0
20230104:1510,0.0,0.0,0.0,7.53,4.83,0.0
20230104:1610,0.0,0.0,0.0,7.66,4.97,0.0
20230104:1710,0.0,0.0,0.0,7.84,5.03,0.0
20230104:1810,0.0,0.0,0.0,7.83,5.17,0.0
20230104:1910,0.0,0.0,0.0,7.5,5.38,0.0
20230104:2010,0.0,0.0,0.0,7.55,5.52,0.0
20230104:2110,0.0,0.0,0.0,7.78,5.72,0.0
20230104:2210,0.0,0.0,0.0,8.07,5.93,0.0
20230104:2310,0.0,0.0,0.0,8.35,6.0,0.0
20230105:0010,0.0,0.0,0.0,8.55,5.79,0.0
20230105:0110,0.0,0.0,0.0,8.7,6.0,0.0
20230105:0210,0.0,0.0,0.0,8.82,6.69,0.0
20230105:0310,0.0,0.0,0.0,9.19,6.97,0.0
20230105:0410,0.0,0.0,0.0,9.29,6.62,0.0
20230105:0510,0.0,0.0,0.0,9.23,6.41,0.0
20230105:0610,0.0,0.0,0.0,8.96,5.79,0.0
20230105:0710,0.0,0.0,0.0,8.65,6.14,0.0
20230105:0810,9839.84,96.26,6.85,7.91,5.59,0.0
20230105:0910,10040.62,97.24,12.61,7.71,5.03,0.0
20230105:1010,44122.64,361.53,16.41,7.9,5.38,0.0
20230105:1110,39466.16,325.78,17.92,8.07,5.1,0.0
20230105:1210,25354.32,217.13,16.97,8.42,4.9,0.0
20230105:1310,36220.86,301.18,13.67,8.32,4.97,0.0
20230105:1410,13237.5,123.15,8.32,8.04,5.03,0.0
20230105:1510,0.0,0.0,0.0,7.51,4.41,0.0
20230105:1610,0.0,0.0,0.0,7.2,4.14,0.0
20230105:1710,0.0,0.0,0.0,7.07,3.79,0.0
20230105:1810,0.0,0.0,0.0,7.08,3.59,0.0
20230105:1910,0.0,0.0,0.0,6.97,3.24,0.0
20230105:2010,0.0,0.0,0.0,6.91,3.03,0.0
20230105:2110,0.0,0.0,0.0,6.82,2.69,0.0
20230105:2210,0.0,0.0,0.0,6.81,2.21,0.0
20230105:2310,0.0,0.0,0.0,6.86,1.93,0.0
20230106:0010,0.0,0.0,0.0,6.91,1.79,0.0
20230106:0110,0.0,0.0,0.0,7.04,1.66,0.0
20230106:0210,0.0,0.0,0.0,7.15,1.72,0.0
20230106:0310,0.0,0.0,0.0,7.23,2.0,0.0
20230106:0410,0.0,0.0,0.0,7.37,2.07,0.0
20230106:0510,0.0,0.0,0.0,7.5,2.0,0.0
20230106:0610,0.0,0.0,0.0,7.63,2.0,0.0
20230106:0710,0.0,0.0,0.0,8.03,2.69,0.0
20230106:0810,1381.28,22.7,6.9,8.28,3.1,0.0
20230106:0910,26248.59,225.19,12.68,8.64,3.03,0.0
20230106:1010,23127.18,200.97,16.51,8.89,3.1,0.0
20230106:1110,14352.5,132.55,18.03,8.94,3.24,0.0
20230106:1210,9715.95,95.56,17.1,9.14,3.31,0.0
20230106:1310,1748.67,26.49,13.81,9.13,3.72,0.0
20230106:1410,1285.87,21.76,8.47,8.83,3.45,0.0
20230106:1510,0.0,0.0,0.0,8.49,3.03,0.0
20230106:1610,0.0,0.0,0.0,8.09,2.69,0.0
20230106:1710,0.0,0.0,0.0,7.92,2.41,0.0
20230106:1810,0.0,0.0,0.0,7.68,2.21,0.0
20230106:1910,0.0,0.0,0.0,7.32,2.21,0.0
20230106:2010,0.0,0.0,0.0,7.33,2.14,0.0
20230106:2110,0.0,0.0,0.0,7.26,1.86,0.0
20230106:2210,0.0,0.0,0.0,7.04,1.72,0.0
20230106:2310,0.0,0.0,0.0,6.97,1.59,0.0
20230107:0010,0.0,0.0,0.0,6.88,1.59,0.0
20230107:0110,0.0,0.0,0.0,6.77,1.66,0.0
20230107:0210,0.0,0.0,0.0,6.7,1.59,0.0
20230107:0310,0.0,0.0,0.0,6.52,1.52,0.0
20230107:0410,0.0,0.0,0.0,6.39,1.31,0.0
20230107:0510,0.0,0.0,0.0,6.09,1.31,0.0
20230107:0610,0.0,0.0,0.0,5.98,1.38,0.0
20230107:0710,0.0,0.0,0.0,5.97,1.17,0.0
20230107:0810,862.94,17.03,6.96,5.92,1.31,0.0
20230107:0910,5572.11,60.54,12.76,6.44,1.24,0.0
20230107:1010,4989.7,55.81,16.61,7.62,1.59,0.0
20230107:1110,20511.3,180.8,18.15,8.31,2.07,0.0
20230107:1210,19273.84,171.28,17.24,8.85,2.41,0.0
20230107:1310,43029.01,359.31,13.96,9.11,2.34,0.0
20230107:1410,21958.08,193.69,8.62,8.94,2.07,0.0
20230107:1510,0.0,0.95,1.64,8.0,1.93,0.0
20230107:1610,0.0,0.0,0.0,6.77,2.14,0.0
20230107:1710,0.0,0.0,0.0,5.96,2.28,0.0
20230107:1810,0.0,0.0,0.0,5.36,2.34,0.0
20230107:1910,0.0,0.0,0.0,4.74,2.34,0.0
20230107:2010,0.0,0.0,0.0,4.15,2.34,0.0
20230107:2110,0.0,0.0,0.0,3.68,2.28,0.0
20230107:2210,0.0,0.0,0.0,3.17,2.14,0.0
20230107:2310,0.0,0.0,0.0,2.68,2.0,0.0
20230108:0010,0.0,0.0,0.0,2.21,1.86,0.0
20230108:0110,0.0,0.0,0.0,1.74,2.0,0.0
20230108:0210,0.0,0.0,0.0,1.42,2.0,0.0
20230108:0310,0.0,0.0,0.0,1.17,2.07,0.0
20230108:0410,0.0,0.0,0.0,0.98,2.0,0.0
20230108:0510,0.0,0.0,0.0,0.82,1.86,0.0
20230108:0610,0.0,0.0,0.0,0.67,1.79,0.0
20230108:0710,0.0,0.0,0.0,1.34,2.14,0.0
20230108:0810,6440.75,66.73,7.03,1.86,2.07,0.0
20230108:0910,10739.81,101.18,12.85,2.89,1.79,0.0
20230108:1010,31196.99,259.57,16.72,3.96,1.79,0.0
20230108:1110,20028.56,174.72,18.28,5.0,1.86,0.0
20230108:1210,20371.74,177.82,17.38,5.95,2.07,0.0
20230108:1310,9492.38,92.62,14.11,6.17,1.86,0.0
20230108:1410,2776.8,35.95,8.78,6.14,1.93,0.0
20230108:1510,0.0,0.95,1.81,5.68,2.07,0.0
20230108:1610,0.0,0.0,0.0,5.15,2.14,0.0
20230108:1710,0.0,0.0,0.0,4.4,2.21,0.0
20230108:1810,0.0,0.0,0.0,3.98,2.21,0.0
20230108:1910,0.0,0.0,0.0,2.33,2.41,0.0
20230108:2010,0.0,0.0,0.0,2.12,2.21,0.0
20230108:2110,0.0,0.0,0.0,2.09,1.93,0.0
20230108:2210,0.0,0.0,0.0,2.03,2.0,0.0
20230108:2310,0.0,0.0,0.0,2.25,2.07,0.0
20230109:0010,0.0,0.0,0.0,2.39,1.93,0.0
20230109:0110,0.0,0.0,0.0,2.51,1.38,0.0
20230109:0210,0.0,0.0,0.0,2.59,1.31,0.0
20230109:0310,0.0,0.0,0.0,2.66,1.79,0.0
20230109:0410,0.0,0.0,0.0,2.74,1.66,0.0
20230109:0510,0.0,0.0,0.0,2.78,1.79,0.0
20230109:0610,0.0,0.0,0.0,3.15,2.55,0.0
20230109:0710,0.0,0.0,0.0,4.88,3.59,0.0
20230109:0810,37115.14,310.56,7.11,5.29,4.69,0.0
20230109:0910,18359.63,160.81,12.95,5.17,4.69,0.0
20230109:1010,42188.85,343.57,16.84,5.21,4.21,0.0
20230109:1110,26258.56,221.84,18.42,5.47,4.07,0.0
20230109:1210,7554.32,76.62,17.53,5.36,3.86,0.0
20230109:1310,15716.69,140.71,14.27,5.18,3.66,0.0
20230109:1410,25923.92,220.99,8.95,5.23,3.1,0.0
20230109:1510,0.0,3.78,1.97,4.9,2.83,0.0
20230109:1610,0.0,0.0,0.0,4.01,2.97,0.0
20230109:1710,0.0,0.0,0.0,3.68,3.17,0.0
20230109:1810,0.0,0.0,0.0,3.62,3.38,0.0
20230109:1910,0.0,0.0,0.0,3.8,3.17,0.0
20230109:2010,0.0,0.0,0.0,3.74,3.1,0.0
20230109:2110,0.0,0.0,0.0,3.38,3.03,0.0
20230109:2210,0.0,0.0,0.0,3.26,3.17,0.0
20230109:2310,0.0,0.0,0.0,3.19,3.17,0.0
20230110:0010,0.0,0.0,0.0,3.1,3.31,0.0
20230110:0110,0.0,0.0,0.0,2.98,3.24,0.0
20230110:0210,0.0,0.0,0.0,2.9,3.1,0.0
20230110:0310,0.0,0.0,0.0,2.78,3.03,0.0
20230110:0410,0.0,0.0,0.0,2.83,3.24,0.0
20230110:0510,0.0,0.0,0.0,2.88,3.31,0.0
20230110:0610,0.0,0.0,0.0,2.84,3.38,0.0
20230110:0710,0.0,0.0,0.0,2.96,3.52,0.0
20230110:0810,11411.94,106.97,7.19,2.84,3.38,0.0
20230110:0910,15125.73,134.89,13.05,3.06,4.14,0.0
20230110:1010,5668.94,60.54,16.96,3.5,4.55,0.0
20230110:1110,7844.82,78.52,18.56,3.91,4.41,0.0
20230110:1210,41068.16,333.73,17.69,4.43,4.34,0.0
20230110:1310,7120.0,72.84,14.44,4.67,4.21,0.0
20230110:1410,6137.44,64.65,9.12,4.49,3.31,0.0
20230110:1510,0.0,0.95,2.14,3.89,2.69,0.0
20230110:1610,0.0,0.0,0.0,3.16,2.28,0.0
20230110:1710,0.0,0.0,0.0,2.91,2.07,0.0
20230110:1810,0.0,0.0,0.0,2.46,1.79,0.0
20230110:1910,0.0,0.0,0.0,2.26,1.86,0.0
20230110:2010,0.0,0.0,0.0,2.07,2.07,0.0
20230110:2110,0.0,0.0,0.0,1.68,2.41,0.0
20230110:2210,0.0,0.0,0.0,1.27,2.55,0.0
20230110:2310,0.0,0.0,0.0,1.23,2.55,0.0
20230111:0010,0.0,0.0,0.0,1.39,2.62,0.0
20230111:0110,0.0,0.0,0.0,1.61,2.62,0.0
20230111:0210,0.0,0.0,0.0,2.01,2.62,0.0
20230111:0310,0.0,0.0,0.0,2.38,2.62,0.0
20230111:0410,0.0,0.0,0.0,2.83,2.62,0.0
20230111:0510,0.0,0.0,0.0,3.34,2.62,0.0
20230111:0610,0.0,0.0,0.0,3.81,2.62,0.0
20230111:0710,0.0,0.0,0.0,3.9,2.62,0.0
20230111:0810,3992.9,46.57,7.28,4.41,2.69,0.0
20230111:0910,5731.6,61.49,13.16,5.03,2.76,0.0
20230111:1010,13856.94,127.04,17.09,5.89,2.9,0.0
20230111:1110,56645.3,463.3,18.71,6.88,2.9,0.0
20230111:1210,6104.69,65.27,17.85,7.68,2.97,0.0
20230111:1310,4012.83,47.3,14.61,7.82,3.17,0.0
20230111:1410,2651.49,35.0,9.29,7.87,3.38,0.0
20230111:1510,0.0,2.84,2.32,7.98,3.52,0.0
20230111:1610,0.0,0.0,0.0,7.97,3.52,0.0
20230111:1710,0.0,0.0,0.0,7.84,3.59,0.0
20230111:1810,0.0,0.0,0.0,7.57,3.24,0.0
20230111:1910,0.0,0.0,0.0,6.9,3.38,0.0
20230111:2010,0.0,0.0,0.0,6.14,3.24,0.0
20230111:2110,0.0,0.0,0.0,5.66,3.38,0.0
20230111:2210,0.0,0.0,0.0,5.28,3.38,0.0
20230111:2310,0.0,0.0,0.0,5.18,3.31,0.0
20230112:0010,0.0,0.0,0.0,5.08,3.31,0.0
20230112:0110,0.0,0.0,0.0,4.81,3.38,0.0
20230112:0210,0.0,0.0,0.0,4.85,3.52,0.0
20230112:0310,0.0,0.0,0.0,4.83,3.66,0.0
20230112:0410,0.0,0.0,0.0,4.63,3.72,0.0
20230112:0510,0.0,0.0,0.0,4.48,3.66,0.0
20230112:0610,0.0,0.0,0.0,4.44,3.72,0.0
20230112:0710,0.0,0.0,0.0,4.62,4.0,0.0
20230112:0810,16320.46,146.63,7.38,4.95,4.21,0.0
20230112:0910,20227.92,175.38,13.28,5.42,4.48,0.0
20230112:1010,50898.03,413.8,17.23,6.15,3.86,0.0
20230112:1110,8081.2,81.35,18.87,6.76,4.34,0.0
20230112:1210,15816.37,142.79,18.03,7.12,4.55,0.0
20230112:1310,8203.66,82.44,14.79,7.24,4.21,0.0
20230112:1410,380.21,11.35,9.48,7.32,5.1,0.0
20230112:1510,4.27,5.68,2.5,7.24,4.76,0.0
20230112:1610,0.0,0.0,0.0,7.08,4.41,0.0
20230112:1710,0.0,0.0,0.0,7.15,4.41,0.0
20230112:1810,0.0,0.0,0.0,7.2,4.55,0.0
20230112:1910,0.0,0.0,0.0,7.35,4.21,0.0
20230112:2010,0.0,0.0,0.0,7.51,4.28,0.0
20230112:2110,0.0,0.0,0.0,7.63,4.41,0.0
20230112:2210,0.0,0.0,0.0,7.67,4.28,0.0
20230112:2310,0.0,0.0,0.0,7.64,4.14,0.0
20230113:0010,0.0,0.0,0.0,7.49,4.07,0.0
20230113:0110,0.0,0.0,0.0,7.39,4.07,0.0
20230113:0210,0.0,0.0,0.0,7.14,4.0,0.0
20230113:0310,0.0,0.0,0.0,6.67,4.07,0.0
20230113:0410,0.0,0.0,0.0,6.61,4.14,0.0
20230113:0510,0.0,0.0,0.0,6.7,4.07,0.0
20230113:0610,0.0,0.0,0.0,6.76,4.0,0.0
20230113:0710,0.0,0.0,0.0,7.17,4.0,0.0
20230113:0810,3540.06,43.04,7.48,7.47,4.21,0.0
20230113:0910,15454.67,140.01,13.4,7.72,4.48,0.0
20230113:1010,8273.44,83.25,17.37,7.8,4.83,0.0
20230113:1110,4338.93,50.14,19.03,7.96,5.24,0.0
20230113:1210,53525.31,435.53,18.2,8.0,5.52,0.0
20230113:1310,3598.45,43.52,14.98,7.41,5.66,0.0
20230113:1410,25522.35,218.93,9.66,7.16,4.07,0.0
20230113:1510,0.0,1.89,2.69,6.8,4.21,0.0
20230113:1610,0.0,0.0,0.0,6.08,4.41,0.0
20230113:1710,0.0,0.0,0.0,5.53,4.41,0.0
20230113:1810,0.0,0.0,0.0,5.25,4.62,0.0
20230113:1910,0.0,0.0,0.0,4.96,4.28,0.0
20230113:2010,0.0,0.0,0.0,4.83,4.28,0.0
20230113:2110,0.0,0.0,0.0,4.62,4.28,0.0
20230113:2210,0.0,0.0,0.0,4.51,4.62,0.0
20230113:2310,0.0,0.0,0.0,4.6,5.1,0.0
20230114:0010,0.0,0.0,0.0,4.38,5.03,0.0
20230114:0110,0.0,0.0,0.0,4.1,4.69,0.0
20230114:0210,0.0,0.0,0.0,3.93,4.21,0.0
20230114:0310,0.0,0.0,0.0,3.88,3.93,0.0
20230114:0410,0.0,0.0,0.0,3.82,3.52,0.0
20230114:0510,0.0,0.0,0.0,3.35,3.31,0.0
20230114:0610,0.0,0.0,0.0,3.42,2.97,0.0
20230114:0710,0.0,0.0,0.0,3.27,2.62,0.0
20230114:0810,13146.37,121.07,7.59,3.64,2.9,0.0
20230114:0910,60172.54,488.47,13.53,4.21,2.62,0.0
20230114:1010,56243.73,456.0,17.53,5.15,3.1,0.0
20230114:1110,20423.01,177.83,19.2,5.79,3.45,0.0
20230114:1210,16304.8,146.3,18.39,6.12,3.24,0.0
20230114:1310,27896.16,235.77,15.17,6.54,3.17,0.0
20230114:1410,23276.7,201.29,9.86,6.87,3.52,0.0
20230114:1510,0.0,4.73,2.88,6.72,3.59,0.0
20230114:1610,0.0,0.0,0.0,6.47,3.59,0.0
20230114:1710,0.0,0.0,0.0,6.11,3.59,0.0
20230114:1810,0.0,0.0,0.0,5.28,3.79,0.0
20230114:1910,0.0,0.0,0.0,5.28,4.34,0.0
20230114:2010,0.0,0.0,0.0,5.44,4.48,0.0
20230114:2110,0.0,0.0,0.0,5.84,4.55,0.0
20230114:2210,0.0,0.0,0.0,6.41,4.69,0.0
20230114:2310,0.0,0.0,0.0,6.86,4.76,0.0
20230115:0010,0.0,0.0,0.0,6.98,4.76,0.0
20230115:0110,0.0,0.0,0.0,6.9,4.83,0.0
20230115:0210,0.0,0.0,0.0,6.81,4.9,0.0
20230115:0310,0.0,0.0,0.0,6.68,4.83,0.0
20230115:0410,0.0,0.0,0.0,6.58,4.83,0.0
20230115:0510,0.0,0.0,0.0,6.42,4.9,0.0
20230115:0610,0.0,0.0,0.0,6.24,4.97,0.0
20230115:0710,0.0,0.0,0.0,7.29,4.34,0.0
20230115:0810,2356.72,32.16,7.71,7.28,3.31,0.0
20230115:0910,10359.6,99.79,13.67,7.04,2.62,0.0
20230115:1010,8783.23,87.03,17.69,6.39,3.17,0.0
20230115:1110,8837.34,87.03,19.38,5.11,3.1,0.0
20230115:1210,4966.91,54.87,18.58,4.39,3.24,0.0
20230115:1310,11742.3,109.4,15.37,3.96,3.52,0.0
20230115:1410,5731.6,61.05,10.06,3.64,3.86,0.0
20230115:1510,0.0,2.84,3.08,3.34,4.76,0.0
20230115:1610,0.0,0.0,0.0,3.13,4.28,0.0
20230115:1710,0.0,0.0,0.0,3.09,4.0,0.0
20230115:1810,0.0,0.0,0.0,2.91,3.86,0.0
20230115:1910,0.0,0.0,0.0,1.98,3.52,0.0
20230115:2010,0.0,0.0,0.0,1.68,3.38,0.0
20230115:2110,0.0,0.0,0.0,1.43,3.24,0.0
20230115:2210,0.0,0.0,0.0,1.26,2.97,0.0
20230115:2310,0.0,0.0,0.0,0.99,2.69,0.0
20230116:0010,0.0,0.0,0.0,0.69,2.48,0.0
20230116:0110,0.0,0.0,0.0,0.37,2.34,0.0
20230116:0210,0.0,0.0,0.0,0.0,2.34,0.0
20230116:0310,0.0,0.0,0.0,-0.15,2.41,0.0
20230116:0410,0.0,0.0,0.0,-0.37,2.55,0.0
20230116:0510,0.0,0.0,0.0,-0.57,2.55,0.0
20230116:0610,0.0,0.0,0.0,-0.72,2.62,0.0
20230116:0710,0.0,0.0,0.0,-0.52,2.69,0.0
20230116:0810,42100.56,343.67,7.84,-0.2,2.9,0.0
20230116:0910,69797.36,558.1,13.82,1.0,2.9,0.0
20230116:1010,88055.89,708.27,17.85,2.6,3.59,0.0
20230116:1110,94432.56,764.66,19.56,4.05,4.0,0.0
20230116:1210,90670.35,735.87,18.77,5.04,4.07,0.0
20230116:1310,25792.91,218.4,15.57,5.51,3.72,0.0
20230116:1410,6121.78,64.78,10.26,5.48,3.17,0.0
20230116:1510,58.38,6.62,3.28,4.86,3.24,0.0
20230116:1610,0.0,0.0,0.0,4.22,3.45,0.0
20230116:1710,0.0,0.0,0.0,3.63,3.24,0.0
20230116:1810,0.0,0.0,0.0,3.28,3.24,0.0
20230116:1910,0.0,0.0,0.0,1.98,3.24,0.0
20230116:2010,0.0,0.0,0.0,2.02,4.21,0.0
20230116:2110,0.0,0.0,0.0,2.0,4.62,0.0
20230116:2210,0.0,0.0,0.0,2.02,4.9,0.0
20230116:2310,0.0,0.0,0.0,2.27,4.9,0.0
20230117:0010,0.0,0.0,0.0,2.39,4.83,0.0
20230117:0110,0.0,0.0,0.0,2.2,4.69,0.0
20230117:0210,0.0,0.0,0.0,1.67,4.48,0.0
20230117:0310,0.0,0.0,0.0,1.35,4.07,0.0
20230117:0410,0.0,0.0,0.0,0.94,3.72,0.0
20230117:0510,0.0,0.0,0.0,0.64,3.38,0.0
20230117:0610,0.0,0.0,0.0,0.48,3.1,0.0
20230117:0710,0.0,0.0,0.0,0.3,2.83,0.0
20230117:0810,12929.92,117.87,7.97,0.27,1.79,0.0
20230117:0910,66928.0,536.38,13.97,0.77,2.34,0.0
20230117:1010,57244.8,458.14,18.02,1.25,2.34,0.0
20230117:1110,63647.1,512.89,19.76,1.91,1.86,0.0
20230117:1210,79484.83,653.3,18.98,2.47,1.03,0.0
20230117:1310,63667.04,519.35,15.78,2.73,1.1,0.0
20230117:1410,42090.59,345.72,10.47,2.67,1.72,0.0
20230117:1510,1372.74,22.48,3.48,2.15,1.79,0.0
20230117:1610,0.0,0.0,0.0,1.2,2.07,0.0
20230117:1710,0.0,0.0,0.0,0.67,2.14,0.0
20230117:1810,0.0,0.0,0.0,0.4,2.14,0.0
20230117:1910,0.0,0.0,0.0,0.26,1.79,0.0
20230117:2010,0.0,0.0,0.0,0.25,1.86,0.0
20230117:2110,0.0,0.0,0.0,0.19,1.79,0.0
20230117:2210,0.0,0.0,0.0,0.07,1.66,0.0
20230117:2310,0.0,0.0,0.0,-0.08,1.45,0.0
20230118:0010,0.0,0.0,0.0,-0.3,1.17,0.0
20230118:0110,0.0,0.0,0.0,-0.72,1.03,0.0
20230118:0210,0.0,0.0,0.0,-0.65,0.62,0.0
20230118:0310,0.0,0.0,0.0,-0.4,0.34,0.0
20230118:0410,0.0,0.0,0.0,-0.68,0.55,0.0
20230118:0510,0.0,0.0,0.0,-0.43,0.83,0.0
20230118:0610,0.0,0.0,0.0,-0.49,1.17,0.0
20230118:0710,0.0,0.0,0.0,-0.76,1.03,0.0
20230118:0810,8240.69,80.61,8.1,-0.69,1.03,0.0
20230118:0910,31538.75,258.36,14.13,0.01,1.59,0.0
20230118:1010,8072.66,79.46,18.2,0.69,2.55,0.0
20230118:1110,7226.8,72.84,19.95,1.41,3.1,0.0
20230118:1210,2430.77,32.16,19.19,1.35,2.9,0.0
20230118:1310,4257.76,48.24,15.99,1.29,2.83,0.0
20230118:1410,552.51,13.24,10.68,1.06,2.55,0.0
20230118:1510,0.0,4.73,3.69,0.49,2.41,0.0
20230118:1610,0.0,0.0,0.0,0.04,2.34,0.0
20230118:1710,0.0,0.0,0.0,-0.25,2.34,0.0
20230118:1810,0.0,0.0,0.0,-0.53,2.34,0.0
20230118:1910,0.0,0.0,0.0,-0.21,2.07,0.0
20230118:2010,0.0,0.0,0.0,-0.35,2.0,0.0
20230118:2110,0.0,0.0,0.0,-0.6,2.21,0.0
20230118:2210,0.0,0.0,0.0,-0.75,2.0,0.0
20230118:2310,0.0,0.0,0.0,-1.23,1.79,0.0
20230119:0010,0.0,0.0,0.0,-1.61,1.72,0.0
20230119:0110,0.0,0.0,0.0,-1.93,1.59,0.0
20230119:0210,0.0,0.0,0.0,-2.27,1.45,0.0
20230119:0310,0.0,0.0,0.0,-2.52,1.52,0.0
